,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
12577,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Mama,2015
12578,2 nominations.,2,0,0,0,0,0,0,0,0,Yellow Fieber,2015
12579,1 nomination.,1,0,0,0,0,0,0,0,0,Pirates,2015
12602,1 nomination.,1,0,0,0,0,0,0,0,0,Lena Fauch - Du sollst nicht töten,2016
12608,1 nomination.,1,0,0,0,0,0,0,0,0,Forever Young,2016
12627,1 win.,0,1,0,0,0,0,0,0,0,How to Get a Date,2015
12628,Nominated for 1 Oscar. Another 1 win & 3 nominations.,3,1,0,0,0,1,0,0,0,Winter on Fire: Ukraine's Fight for Freedom,2015
12657,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Bacon & God's Wrath,2015
12689,1 win & 7 nominations.,7,1,0,0,0,0,0,0,0,In Jackson Heights,2015
12696,1 nomination.,1,0,0,0,0,0,0,0,0,LEGO DC Super Heroes: Justice League - Attack of the Legion of Doom!,2015
12697,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Silicon Cowboys,2016
12700,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,The Visitor,2015
12702,2 wins & 7 nominations.,7,2,0,0,0,0,0,0,0,One of Us,2015
12740,Nominated for 1 Oscar. Another 1 nomination.,0,0,0,0,0,0,0,0,0,Prologue,2015
12770,1 nomination.,1,0,0,0,0,0,0,0,0,Risk,2016
12782,1 nomination.,1,0,0,0,0,0,0,0,0,The 67th Primetime Emmy Awards,2015
12818,1 nomination.,1,0,0,0,0,0,0,0,0,Middle School: The Worst Years of My Life,2016
12828,1 win & 10 nominations.,10,1,0,0,0,0,0,0,0,A Regra do Jogo,2015–
12886,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Patricia Heaton Parties,2015–
12926,1 nomination.,1,0,0,0,0,0,0,0,0,Arslan Senki,2015–
12956,1 nomination.,1,0,0,0,0,0,0,0,0,Celia,2015–
12991,5 wins & 10 nominations.,10,5,0,0,0,0,0,0,0,Felix Manalo,2015
13093,4 wins & 5 nominations.,5,4,0,0,0,0,0,0,0,Dogs,2016
13120,4 wins.,0,4,0,0,0,0,0,0,0,Chewing Gum,2015–
13140,1 nomination.,1,0,0,0,0,0,0,0,0,The Pact,2015–
13199,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Britain's Forgotten Slave Owners,2015–
13219,3 wins.,0,3,0,0,0,0,0,0,0,Harvest Lake,2016
13326,1 win.,0,1,0,0,0,0,0,0,0,Mark & Russell's Wild Ride,2015
13342,1 win.,0,1,0,0,0,0,0,0,0,Funeral,2015
13345,6 wins.,0,6,0,0,0,0,0,0,0,I; Daniel Blake,2016
13362,1 nomination.,1,0,0,0,0,0,0,0,0,Hello Kitty World of Friends,2015
13381,2 wins & 7 nominations.,7,2,0,0,0,0,0,0,0,Arthur,2015
13423,1 nomination.,1,0,0,0,0,0,0,0,0,Wanted,2016–
13433,1 win.,0,1,0,0,0,0,0,0,0,Composers on Composing,2015–
13452,4 nominations.,4,0,0,0,0,0,0,0,0,StarCraft II: Legacy of the Void,2015
13544,1 nomination.,1,0,0,0,0,0,0,0,0,The End,2016
13550,1 nomination.,1,0,0,0,0,0,0,0,0,Marco Polo: One Hundred Eyes,2015
13569,1 win.,0,1,0,0,0,0,0,0,0,Home Sweet Home,2015
13618,1 win.,0,1,0,0,0,0,0,0,0,Tyrese Gibson: Shame,2015
13619,1 nomination.,1,0,0,0,0,0,0,0,0,Belief,2015
13620,1 nomination.,1,0,0,0,0,0,0,0,0,I Am Yup'ik,2016
13668,1 win.,0,1,0,0,0,0,0,0,0,Eat That Question: Frank Zappa in His Own Words,2016
13669,5 wins.,0,5,0,0,0,0,0,0,0,Norman Lear: Just Another Version of You,2016
13699,1 win.,0,1,0,0,0,0,0,0,0,The Sound of Music Live,2015
13727,2 nominations.,2,0,0,0,0,0,0,0,0,After the Storm,2016
13879,1 nomination.,1,0,0,0,0,0,0,0,0,The Passion,2016
13898,1 nomination.,1,0,0,0,0,0,0,0,0,The Division: Agent Origins,2016
13997,1 win.,0,1,0,0,0,0,0,0,0,Hold On,2016
14003,1 nomination.,1,0,0,0,0,0,0,0,0,The Shining Star of Losers Everywhere,2016
14007,1 win.,0,1,0,0,0,0,0,0,0,Solitaires. Le bal des sauvages,2016
14046,1 nomination.,1,0,0,0,0,0,0,0,0,Mama,2016
14089,2 nominations.,2,0,0,0,0,0,0,0,0,Flume Featuring Andrew Wyatt: Some Minds,2015
14136,1 nomination.,1,0,0,0,0,0,0,0,0,Zusammen Allein,2015
14137,2 nominations.,2,0,0,0,0,0,0,0,0,Strike a Pose,2016
14249,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Houston; We Have a Problem,2016
14346,2 nominations.,2,0,0,0,0,0,0,0,0,Close Encounters with Vilmos Zsigmond,2016
14432,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,The Return,2016
14599,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Hearts of Spring,2016
14652,1 nomination.,1,0,0,0,0,0,0,0,0,A Single Girl's Guide To...,2015–
14761,1 nomination.,1,0,0,0,0,0,0,0,0,Day 5,2016–
14792,1 nomination.,1,0,0,0,0,0,0,0,0,Business,2016
14800,2 nominations.,2,0,0,0,0,0,0,0,0,Limbo,2016
14805,1 win.,0,1,0,0,0,0,0,0,0,Ukraine on Fire,2016
14873,1 win.,0,1,0,0,0,0,0,0,0,Cinema Dom Dinis,2016
14908,1 nomination.,1,0,0,0,0,0,0,0,0,I Wanna Be with You,2015
15177,1 nomination.,1,0,0,0,0,0,0,0,0,Fish Out of Water,2016
15180,2 nominations.,2,0,0,0,0,0,0,0,0,Camp Unplug,2016
15219,2 nominations.,2,0,0,0,0,0,0,0,0,The Baulkham Hills African Ladies Troupe,2016
15230,1 nomination.,1,0,0,0,0,0,0,0,0,Me,2016
15234,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Caged,2016
15269,7 nominations.,7,0,0,0,0,0,0,0,0,SoulMate,2016
